Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,1024,2,3072,1,1,140.2893531,121.3002353,12.90668011,0.08871769905,11690.77943,2345,11667,20.099%,278.1209893
1024,1024,2,3072,1,2,136.6753972,117.6460009,12.96020079,0.09074544907,11389.61643,2264,11667,19.405%,278.1231141
1024,1024,2,3072,1,3,136.1217117,117.1305969,12.64163637,0.08885383606,11343.47598,2258,11667,19.354%,278.1234264
1024,1024,2,3072,2,1,141.2743785,122.1313412,13.02096367,0.08823347092,11772.86488,2555,11667,21.899%,278.864814
1024,1024,2,3072,2,2,140.537219,121.3547633,12.99036098,0.0892534256,11711.43492,2588,11667,22.182%,278.8650725
1024,1024,2,3072,2,3,138.0118718,119.434644,12.66848969,0.08623170853,11500.98932,2559,11667,21.934%,278.8650737
1024,1024,3,3072,1,1,139.1675601,120.10044,12.94826841,0.08731222153,11597.29668,2414,11667,20.691%,276.3037417
1024,1024,3,3072,1,2,137.4099915,118.5982988,12.80965304,0.08803057671,11450.83263,2322,11667,19.902%,276.3025646
1024,1024,3,3072,1,3,134.1713843,116.224623,12.22336102,0.08560824394,11180.94869,2331,11667,19.979%,276.3049791
1024,1024,3,3072,2,1,139.9727545,120.7943163,13.03850889,0.08962464333,11664.39621,2535,11667,21.728%,278.3576872
1024,1024,3,3072,2,2,140.324759,121.2681141,12.86117744,0.09231090546,11693.72992,2547,11667,21.831%,278.3589227
1024,1024,3,3072,2,3,136.8008356,118.4321718,12.51668787,0.0871655941,11400.06963,2506,11667,21.479%,278.3582098
